OTU,Domaine,Phylum,Classe,Ordre,Famille,Genre,Espece
Otu02788,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Porphyrobacter,Porphyrobacter dokdonensis
Otu02789,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides unclassified
Otu02790,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Saprospiraceae,Saprospiraceae_unclassified,unclassified unclassified
Otu02791,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,Desulfocapsa thiozymogenes
Otu02792,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Saprospiraceae,Saprospiraceae_unclassified,unclassified unclassified
Otu02793,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium succinicans
Otu02794,Bacteria,Armatimonadetes,(Fimbriimonadia),(Fimbriimonadales),(Fimbriimonadaceae),Fimbriimonas,Fimbriimonas unclassified
Otu02795,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Carica,Carica papaya
Otu02796,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Saprospiraceae,Saprospiraceae_unclassified,unclassified unclassified
Otu02797,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonadaceae_unclassified,unclassified unclassified
Otu02798,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfarculaceae_unclassified,unclassified unclassified
Otu02799,Bacteria,Acidobacteria,(Chloracidobacteria),RB41,Ellin6075,Ellin6075_unclassified,unclassified unclassified
Otu02800,Bacteria,Chloroflexi,S085,S085_unclassified,S085_unclassified,S085_unclassified,unclassified unclassified
Otu02801,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter bethesdensis
Otu02802,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera,Methylotenera versatilis
Otu02803,Bacteria,Acidobacteria,Solibacteres,Solibacterales,AKIW659,AKIW659_unclassified,unclassified unclassified
Otu02804,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium unclassified
Otu02805,Bacteria,OP11,OP11-3,OP11-3_unclassified,OP11-3_unclassified,OP11-3_unclassified,unclassified unclassified
Otu02806,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,unclassified unclassified
Otu02807,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium unclassified
Otu02808,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Chitinophagaceae,Sediminibacterium,Sediminibacterium unclassified
Otu02809,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,MIZ46_unclassified,MIZ46_unclassified,unclassified unclassified
Otu02810,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified,unclassified unclassified
Otu02811,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Aquimonas,Aquimonas unclassified
Otu02812,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas unclassified
Otu02813,Bacteria,Proteobacteria,TA18,PHOS-HD29,PHOS-HD29_unclassified,PHOS-HD29_unclassified,unclassified unclassified
Otu02814,Bacteria,Proteobacteria,Betaproteobacteria,ASSO-13,ASSO-13_unclassified,ASSO-13_unclassified,unclassified unclassified
Otu02815,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella jeonii
Otu02816,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus unclassified
Otu02817,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea koreensis
Otu02818,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata unclassified
Otu02819,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae_unclassified,unclassified unclassified
Otu02820,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Magnetospirillum,Magnetospirillum magnetotacticum
Otu02821,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium unclassified
